PLAYER_NAME,Player_Abbrev,SeasonYear,Defensive_Handoff,Defensive_OffScreen,Defensive_PRBallHandler,Defensive_PRRollMan,Defensive_Postup,Defensive_Spotup,Offensive_Cut,Offensive_Handoff,Offensive_Misc,Offensive_OffScreen,Offensive_PRBallHandler,Offensive_PRRollMan,Offensive_Postup,Offensive_Spotup
Alec Burks,A. Burks,2024-25,0.336,0.694,0.982,0.0,0.0,0.35,0.0,0.9,0.35,0.985,0.891,0.0,0.0,0.765
Alec Peters,A. Peters,2017-18,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.931,0.0,0.0,0.0,0.628
Aleem Ford,A. Ford,2021-22,0.0,0.0,0.0,0.0,0.0,0.782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037
Aleksej Pokusevski,A. Pokusevski,2020-21,0.196,0.382,0.967,0.582,0.0,0.2,0.0,0.12,0.216,0.771,0.061,0.042,0.0,0.145
Aleksej Pokusevski,A. Pokusevski,2021-22,0.809,0.898,0.773,0.388,0.148,0.612,0.564,0.028,0.015,0.834,0.083,0.268,0.0,0.147
Aleksej Pokusevski,A. Pokusevski,2022-23,0.0,0.0,0.0,0.878,0.176,0.933,0.058,0.0,0.287,0.0,0.0,0.163,0.0,0.268
Aleksej Pokusevski,A. Pokusevski,2023-24,0.0,0.0,0.477,0.0,0.0,0.20450000000000002,0.0655,0.0,0.0,0.0,0.01,0.102,0.0,0.206
Alen Smailagic,A. Smailagic,2019-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.925
Alex Abrines,A. Abrines,2016-17,0.067,0.179,0.053,0.0,0.013,0.209,0.0,0.042,0.717,0.289,0.307,0.0,0.0,0.83
Alex Abrines,A. Abrines,2017-18,0.276,0.057,0.468,0.612,0.927,0.136,0.0,0.711,0.785,0.55,0.137,0.0,0.0,0.749
Alex Abrines,A. Abrines,2018-19,0.595,0.581,0.969,0.0,0.12,0.075,0.0,0.965,0.0,0.286,0.988,0.032,0.0,0.716
Alex Caruso,A. Caruso,2017-18,0.818,0.945,0.436,0.0,0.948,0.957,0.839,0.0,0.45,0.0,0.439,0.0,0.0,0.193
Alex Caruso,A. Caruso,2018-19,1.0,0.382,0.788,0.0,0.261,0.961,0.552,0.846,0.331,0.0,0.508,0.0,0.0,0.542
Alex Caruso,A. Caruso,2019-20,0.861,0.441,0.924,0.039,0.968,0.143,0.552,0.183,0.775,0.0,0.17,0.157,0.0,0.397
Alex Caruso,A. Caruso,2020-21,0.585,0.66,0.48,0.365,0.783,0.433,0.253,0.032,0.721,0.0,0.139,0.0,0.0,0.738
Alex Caruso,A. Caruso,2021-22,0.844,0.609,0.274,0.371,0.414,0.646,0.782,0.101,0.119,0.0,0.248,0.0,0.0,0.333
Alex Caruso,A. Caruso,2022-23,0.123,0.282,0.651,0.882,0.858,0.492,0.346,0.0,0.108,0.0,0.049,0.92,0.0,0.534
Alex Caruso,A. Caruso,2023-24,0.232,0.883,0.447,0.397,0.758,0.0,0.234,0.943,0.0,0.0,0.697,0.406,0.0,0.0
Alex Caruso,A. Caruso,2024-25,0.0,0.339,0.995,0.855,0.142,0.0,0.228,0.0,0.848,0.0,0.077,0.093,0.0,0.355
Alex Len,A. Len,2015-16,0.0,0.0,0.0,0.886,0.51,0.761,0.424,0.0,0.223,0.227,0.0,0.224,0.22,0.107
Alex Len,A. Len,2016-17,0.0,0.11,0.0,0.301,0.29,0.85,0.469,0.0,0.276,0.0,0.0,0.359,0.137,0.106
Alex Len,A. Len,2017-18,0.0,0.0,0.0,0.892,0.428,0.192,0.773,0.0,0.196,0.0,0.0,0.768,0.588,0.054
Alex Len,A. Len,2018-19,0.0,0.0,0.0,0.296,0.195,0.732,0.22,0.0,0.203,0.0,0.0,0.544,0.871,0.695
Alex Len,A. Len,2019-20,0.0,0.0,0.0,0.3775,0.0875,0.39799999999999996,0.39549999999999996,0.0,0.0845,0.0,0.0,0.4495,0.2705,0.193
Alex Len,A. Len,2020-21,0.0,0.0,0.0,0.681,0.772,0.401,0.224,0.0,0.033,0.0,0.0,0.79,0.806,0.292
Alex Len,A. Len,2021-22,0.0,0.0,0.0,0.875,0.699,0.499,0.122,0.0,0.066,0.0,0.0,0.332,0.036,0.874
Alex Len,A. Len,2024-25,0.0,0.0,0.5675,0.0,0.0,0.3485,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Poythress,A. Poythress,2016-17,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.945
Alex Poythress,A. Poythress,2018-19,0.0,0.0,0.0,0.0,0.958,0.068,0.481,0.0,0.008,0.0,0.0,0.88,0.0,0.267
Alex Sarr,A. Sarr,2024-25,0.534,0.88,0.459,0.345,0.286,0.746,0.105,0.0,0.346,0.0,0.965,0.125,0.062,0.0
Alexis Ajinca,A. Ajinca,2015-16,0.0,0.0,0.0,0.263,0.577,0.091,0.291,0.0,0.267,0.643,0.0,0.347,0.212,0.176
Alexis Ajinca,A. Ajinca,2016-17,0.0,0.0,0.0,0.723,0.849,0.707,0.377,0.0,0.024,0.0,0.0,0.596,0.016,0.193
Alfonzo McKinnie,A. McKinnie,2018-19,0.451,0.691,0.927,0.0,0.068,0.842,0.612,0.003,0.358,0.0,0.0,0.0,0.0,0.663
Alfonzo McKinnie,A. McKinnie,2019-20,0.974,0.072,0.855,0.517,0.793,0.335,0.924,0.0,0.621,0.0,0.09,0.0,0.0,0.143
Alfonzo McKinnie,A. McKinnie,2021-22,0.0,0.278,0.172,0.0,0.0,0.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136
Alize Johnson,A. Johnson,2020-21,0.0,0.0,0.96,0.0,0.0,0.109,0.432,0.0,0.0,0.0,0.0,0.0,0.0,0.667
Alize Johnson,A. Johnson,2021-22,0.0,0.0,0.0,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allen Crabbe,A. Crabbe,2015-16,0.163,0.14,0.49,0.043,0.028,0.785,0.887,0.36,0.51,0.52,0.44,0.761,0.0,0.937
Allen Crabbe,A. Crabbe,2016-17,0.481,0.488,0.365,0.0,0.106,0.791,0.803,0.458,0.628,0.557,0.488,0.936,0.0,0.929
Allen Crabbe,A. Crabbe,2017-18,0.5,0.422,0.71,0.02,0.343,0.433,0.102,0.257,0.863,0.707,0.201,0.0,0.0,0.931
Allen Crabbe,A. Crabbe,2018-19,0.351,0.115,0.371,0.0,0.0,0.896,0.0,0.871,0.815,0.336,0.101,0.0,0.0,0.333
Allen Crabbe,A. Crabbe,2019-20,0.0,0.0,0.639,0.0,0.0,0.152,0.0,0.288,0.0,0.045,0.0,0.0,0.0,0.5665
Allonzo Trier,A. Trier,2018-19,0.731,0.691,0.495,0.258,0.357,0.343,0.013,0.343,0.663,0.631,0.462,0.0,0.0,0.772
Allonzo Trier,A. Trier,2019-20,0.0,0.022,0.23,0.0,0.0,0.547,0.0,0.0,0.0,0.109,0.971,0.0,0.0,0.622
Alonzo Gee,A. Gee,2015-16,0.659,0.337,0.322,0.783,0.099,0.26,0.521,0.0,0.259,0.0,0.318,0.0,0.0,0.254
Alperen Sengun,A. Sengun,2021-22,0.0,0.678,0.0,0.339,0.382,0.178,0.357,0.0,0.423,0.0,0.0,0.261,0.509,0.124
Alperen Sengun,A. Sengun,2022-23,0.0,0.331,0.437,0.426,0.431,0.658,0.202,0.0,0.497,0.0,0.096,0.46,0.629,0.524
Alperen Sengun,A. Sengun,2023-24,0.394,0.0,0.312,0.692,0.395,0.0,0.0,0.0,0.689,0.0,0.283,0.506,0.45,0.0
Alperen Sengun,A. Sengun,2024-25,0.0,0.0,0.62,0.31,0.673,0.553,0.184,0.0,0.741,0.0,0.962,0.286,0.677,0.08
Amar'e Stoudemire,A. Stoudemire,2015-16,0.0,0.0,0.0,0.424,0.598,0.069,0.514,0.0,0.064,0.185,0.0,0.922,0.399,0.424
Amen Thompson,A. Thompson,2023-24,0.811,0.469,0.518,0.315,0.742,0.791,0.0,0.9,0.723,0.0,0.355,0.51,0.0,0.0
Amen Thompson,A. Thompson,2024-25,0.68,0.694,0.612,0.0,0.515,0.933,0.558,0.575,0.179,0.0,0.463,0.258,0.0,0.105
Amir Coffey,A. Coffey,2021-22,0.523,0.662,0.452,0.864,0.662,0.744,0.242,0.869,0.812,0.982,0.583,0.0,0.0,0.734
Amir Coffey,A. Coffey,2022-23,0.095,0.036,0.518,0.0,0.048,0.337,0.0,0.05,0.164,0.0,0.616,0.0,0.0,0.137
Amir Coffey,A. Coffey,2023-24,0.357,0.209,0.492,0.031,0.183,0.0,0.0,0.0,0.391,0.0,0.612,0.972,0.0,0.664
Amir Coffey,A. Coffey,2024-25,0.257,0.721,0.892,0.183,0.856,0.037,0.0,0.265,0.225,0.551,0.413,0.278,0.0,0.0
Amir Johnson,A. Johnson,2015-16,0.618,0.223,0.009,0.342,0.656,0.51,0.785,0.0,0.128,0.0,0.0,0.772,0.577,0.072
Amir Johnson,A. Johnson,2016-17,0.0,0.708,0.0,0.825,0.422,0.774,0.731,0.0,0.057,0.0,0.0,0.606,0.324,0.841
Amir Johnson,A. Johnson,2017-18,0.0,0.0,0.0,0.845,0.208,0.878,0.456,0.0,0.191,0.0,0.0,0.536,0.039,0.612
Amir Johnson,A. Johnson,2018-19,0.0,0.0,0.0,0.32,0.314,0.037,0.08,0.0,0.237,0.0,0.0,0.694,0.0,0.542
Anderson Varejao,A. Varejao,2015-16,0.0,0.0,0.0,0.0,0.812,0.989,0.339,0.0,0.716,0.0,0.0,0.251,0.0,0.147
Andre Drummond,A. Drummond,2015-16,0.0,0.632,0.0,0.169,0.329,0.464,0.364,0.0,0.426,0.0,0.0,0.717,0.269,0.075
Andre Drummond,A. Drummond,2016-17,0.0,0.006,0.0,0.336,0.369,0.391,0.457,0.0,0.305,0.0,0.0,0.573,0.195,0.005
Andre Drummond,A. Drummond,2017-18,0.0,0.0,0.0,0.502,0.491,0.235,0.464,0.0,0.089,0.0,0.0,0.43,0.402,0.079
Andre Drummond,A. Drummond,2018-19,0.572,0.07,0.068,0.585,0.172,0.755,0.282,0.0,0.305,0.0,0.0,0.528,0.289,0.049
Andre Drummond,A. Drummond,2019-20,0.0,0.0,0.0,0.075,0.1815,0.0685,0.4315,0.0,0.0455,0.0,0.0,0.5125,0.6675,0.0375
Andre Drummond,A. Drummond,2020-21,0.0,0.0,0.0,0.3995,0.5985,0.402,0.311,0.0,0.16999999999999998,0.0,0.0,0.1615,0.2675,0.0945
Andre Drummond,A. Drummond,2021-22,0.0,0.0,0.0,0.7015,0.2625,0.307,0.38649999999999995,0.0,0.339,0.0,0.0,0.6745,0.163,0.105
Andre Drummond,A. Drummond,2022-23,0.0,0.0,0.0,0.603,0.734,0.081,0.424,0.0,0.173,0.0,0.0,0.498,0.539,0.056
Andre Drummond,A. Drummond,2023-24,0.0,0.0,0.642,0.336,0.237,0.555,0.582,0.0,0.223,0.0,0.0,0.769,0.437,0.0
Andre Drummond,A. Drummond,2024-25,0.0,0.0,0.174,0.548,0.0,0.713,0.143,0.0,0.173,0.0,0.0,0.315,0.392,0.008
Andre Iguodala,A. Iguodala,2015-16,0.181,0.366,0.932,0.342,0.407,0.59,0.347,0.992,0.476,0.71,0.076,0.0,0.104,0.699
Andre Iguodala,A. Iguodala,2016-17,0.642,0.393,0.499,0.134,0.309,0.672,0.891,0.54,0.771,0.202,0.474,0.0,0.668,0.89
Andre Iguodala,A. Iguodala,2017-18,0.845,0.618,0.85,0.122,0.734,0.854,0.798,0.711,0.237,0.948,0.899,0.0,0.069,0.126
Andre Iguodala,A. Iguodala,2018-19,0.061,0.493,0.432,0.373,0.791,0.726,0.897,0.814,0.18,0.0,0.299,0.0,0.0,0.341
Andre Iguodala,A. Iguodala,2019-20,0.889,0.699,0.904,0.0,0.0,0.798,0.771,0.0,0.019,0.0,0.445,0.0,0.0,0.221
Andre Iguodala,A. Iguodala,2020-21,0.045,0.362,0.355,0.769,0.772,0.666,0.096,0.0,0.096,0.0,0.073,0.088,0.0,0.458
Andre Iguodala,A. Iguodala,2021-22,0.037,0.0,0.604,0.0,0.997,0.82,0.078,0.0,0.248,0.0,0.0,0.0,0.0,0.132
Andre Iguodala,A. Iguodala,2022-23,0.0,0.0,0.58,0.0,0.0,0.453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002
Andre Jackson Jr.,A. Jackson Jr.,2023-24,0.902,0.952,0.0,0.0,0.0,0.005,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.532
Andre Jackson Jr.,A. Jackson Jr.,2024-25,0.555,0.0,0.029,0.924,0.0,0.013,0.02,0.0,0.241,0.0,0.0,0.0,0.0,0.166
Andre Miller,A. Miller,2015-16,0.0,0.0,0.5295,0.0,0.0,0.895,0.436,0.0,0.0,0.0,0.6645,0.0,0.0,0.0105
Andre Roberson,A. Roberson,2015-16,0.688,0.6,0.773,0.0,0.566,0.325,0.61,0.0,0.716,0.0,0.0,0.0,0.0,0.294
Andre Roberson,A. Roberson,2016-17,0.774,0.656,0.88,0.512,0.821,0.65,0.577,0.508,0.358,0.0,0.021,0.977,0.0,0.149
Andre Roberson,A. Roberson,2017-18,0.834,0.727,0.583,0.456,0.842,0.825,0.453,0.0,0.244,0.0,0.0,0.0,0.0,0.096
Andre Roberson,A. Roberson,2019-20,0.0,0.0,0.678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265
Andrea Bargnani,A. Bargnani,2015-16,0.0,0.009,0.0,0.183,0.658,0.917,0.706,0.0,0.378,0.434,0.0,0.379,0.875,0.396
Andrew Bogut,A. Bogut,2015-16,0.0,0.563,0.0,0.718,0.73,0.926,0.828,0.0,0.114,0.0,0.0,0.256,0.099,0.0
Andrew Bogut,A. Bogut,2016-17,0.0,0.0,0.0,0.371,0.915,0.906,0.06,0.0,0.013,0.0,0.0,0.592,0.37,0.0
Andrew Bogut,A. Bogut,2018-19,0.0,0.0,0.0,0.0,0.0,0.959,0.307,0.0,0.266,0.0,0.0,0.0,0.0,0.0
Andrew Harrison,A. Harrison,2016-17,0.074,0.501,0.398,0.113,0.169,0.474,0.706,0.202,0.323,0.012,0.46,0.0,0.0,0.163
Andrew Harrison,A. Harrison,2018-19,0.0,0.0,0.932,0.0,0.0,0.264,0.0,0.0,0.0,0.0,0.259,0.0,0.0,0.018
Andrew Nembhard,A. Nembhard,2022-23,0.292,0.612,0.385,0.015,0.598,0.362,0.368,0.414,0.198,0.0,0.237,0.007,0.0,0.589
Andrew Nembhard,A. Nembhard,2023-24,0.545,0.25,0.0,0.0,0.505,0.0,0.12,0.036,0.67,0.0,0.459,0.0,0.0,0.571
