GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SeasonYear,Player1,Player2,Player3,Player4,Player5
Lineups,-201599-202083-1628467-1628973-1629029-,D. Jordan - W. Matthews - M. Kleber - J. Brunson - L. Doncic,1610612742,DAL,4,2,2,0.5,12.0,117.8,107.7,112.0,112.0,5.8,-4.3,0.75,4.5,20.0,0.556,0.714,0.625,0.077,0.448,0.455,95.8,100.16,83.47,26,0.5,1795,1800,11164,5932,1926,5690,8988,8083,3578,351,3774,1278,7165,2873,6727,8294,9419,10708,6526,2018-19,D. Jordan,W. Matthews,M. Kleber,J. Brunson,L. Doncic
Lineups,-1717-2734-203504-203939-1629029-,D. Nowitzki - D. Harris - T. Burke - D. Powell - L. Doncic,1610612742,DAL,3,1,2,0.333,12.0,94.3,92.6,121.9,119.2,-27.6,-26.6,0.571,1.0,11.4,0.333,0.714,0.517,0.148,0.405,0.51,102.3,104.39,86.99,27,0.367,2545,3297,11164,7873,1932,8384,9807,9847,6280,4176,8686,3631,7165,5317,9590,9056,7739,8821,8911,2018-19,D. Nowitzki,D. Harris,T. Burke,D. Powell,L. Doncic
Lineups,-200826-203939-1628467-1628973-1629029-,J. Barea - D. Powell - M. Kleber - J. Brunson - L. Doncic,1610612742,DAL,5,1,4,0.2,12.0,120.4,120.7,128.2,109.7,-7.8,11.0,0.75,2.25,23.1,0.1,0.786,0.5,0.138,0.636,0.698,107.9,116.46,97.05,29,0.549,1332,3297,13862,8717,1894,4134,8722,5397,3578,1697,2788,8165,5788,5473,9018,3684,3323,4467,5781,2018-19,J. Barea,D. Powell,M. Kleber,J. Brunson,L. Doncic
Lineups,-203501-203939-1627827-1628467-1629029-,T. Hardaway Jr. - D. Powell - D. Finney-Smith - M. Kleber - L. Doncic,1610612742,DAL,4,1,3,0.25,12.0,118.3,116.0,86.2,84.6,32.1,31.4,0.667,1.5,17.6,0.273,0.786,0.56,0.16,0.525,0.616,100.5,102.43,85.36,25,0.694,1795,3297,13118,8489,1989,4760,4866,3777,4398,3291,5436,5404,5788,4371,9908,5841,4938,9711,3739,2018-19,T. Hardaway Jr.,D. Powell,D. Finney-Smith,M. Kleber,L. Doncic
Lineups,-202083-203084-203939-1628372-1629029-,W. Matthews - H. Barnes - D. Powell - D. Smith Jr. - L. Doncic,1610612742,DAL,4,2,2,0.5,12.0,131.2,135.7,115.3,103.6,16.0,32.1,0.615,4.0,20.5,0.25,0.857,0.577,0.071,0.696,0.705,108.2,111.97,93.31,28,0.622,1795,1800,11164,5932,1969,2718,8115,3744,5688,381,3704,5610,4567,3932,6592,2865,3194,5804,4665,2018-19,W. Matthews,H. Barnes,D. Powell,D. Smith Jr.,L. Doncic
Lineups,-203501-203939-204001-1627827-1629029-,T. Hardaway Jr. - D. Powell - K. Porzingis - D. Finney-Smith - L. Doncic,1610612742,DAL,19,12,7,0.632,205.0,119.1,120.3,107.8,109.3,11.3,11.0,0.623,1.84,18.9,0.277,0.751,0.533,0.143,0.588,0.621,102.1,100.92,84.1,434,0.572,76,66,13586,5379,37,3989,8041,5052,5268,2629,4466,5027,5841,4766,8254,4413,4681,9745,5118,2019-20,T. Hardaway Jr.,D. Powell,K. Porzingis,D. Finney-Smith,L. Doncic
Lineups,-203501-203552-204001-1627827-1629029-,T. Hardaway Jr. - S. Curry - K. Porzingis - D. Finney-Smith - L. Doncic,1610612742,DAL,14,7,7,0.5,161.0,116.8,119.8,111.5,111.4,5.4,8.4,0.581,2.32,18.0,0.257,0.792,0.53,0.106,0.569,0.604,105.4,104.18,86.81,349,0.532,161,242,13586,5655,49,4196,8281,5234,5815,1487,4963,5227,5435,4790,6999,4853,5051,8399,5778,2019-20,T. Hardaway Jr.,S. Curry,K. Porzingis,D. Finney-Smith,L. Doncic
Lineups,-203501-203939-1627827-1628467-1629029-,T. Hardaway Jr. - D. Powell - D. Finney-Smith - M. Kleber - L. Doncic,1610612742,DAL,11,9,2,0.818,97.0,127.3,128.3,96.2,93.5,31.1,34.8,0.543,2.13,18.5,0.299,0.752,0.559,0.121,0.626,0.646,97.1,98.11,81.76,198,0.666,280,134,10647,4450,99,3323,5446,3248,6191,1579,4623,4693,5838,4161,7523,3639,4119,10801,3997,2019-20,T. Hardaway Jr.,D. Powell,D. Finney-Smith,M. Kleber,L. Doncic
Lineups,-203501-204001-1627827-1628467-1629029-,T. Hardaway Jr. - K. Porzingis - D. Finney-Smith - M. Kleber - L. Doncic,1610612742,DAL,22,11,11,0.5,87.0,110.6,109.0,123.1,122.4,-12.5,-13.4,0.577,1.64,15.9,0.296,0.68,0.49,0.132,0.528,0.565,103.7,104.71,87.26,189,0.426,42,78,13738,5655,120,5290,9405,8167,5834,2917,6174,4707,7205,7271,8026,5567,6034,8207,7573,2019-20,T. Hardaway Jr.,K. Porzingis,D. Finney-Smith,M. Kleber,L. Doncic
Lineups,-203552-204001-1627827-1628467-1629029-,S. Curry - K. Porzingis - D. Finney-Smith - M. Kleber - L. Doncic,1610612742,DAL,11,6,5,0.545,70.0,103.6,105.4,116.1,112.4,-12.5,-7.0,0.667,1.71,16.9,0.345,0.783,0.538,0.143,0.463,0.505,99.5,100.15,83.46,147,0.441,280,327,13263,5628,163,5611,8339,7631,4043,2752,5330,3448,5512,4580,8254,7607,7499,10085,7309,2019-20,S. Curry,K. Porzingis,D. Finney-Smith,M. Kleber,L. Doncic
