GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SeasonYear,Player1,Player2,Player3,Player4,Player5
Lineups,-2544-2592-202684-202697-203521-,L. James - J. Jones - T. Thompson - I. Shumpert - M. Dellavedova,1610612739,CLE,8,5,3,0.625,16.0,128.7,125.0,128.9,132.4,-0.2,-7.4,0.6,3.0,20.9,0.25,0.588,0.448,0.094,0.63,0.665,98.4,98.44,82.03,32,0.531,828,630,10862,4769,1452,2626,9888,7139,4660,554,2772,5120,8170,7454,5761,2896,3077,8298,5427,2015-16,L. James,J. Jones,T. Thompson,I. Shumpert,M. Dellavedova
Lineups,-2544-2747-202681-202684-203521-,L. James - J. Smith - K. Irving - T. Thompson - M. Dellavedova,1610612739,CLE,12,8,4,0.667,16.0,126.5,105.4,114.8,110.5,11.7,-5.1,0.538,7.0,14.9,0.235,0.875,0.545,0.027,0.536,0.594,99.7,110.92,92.43,37,0.456,404,276,11570,4314,1435,4553,8122,6995,5478,36,5693,5766,3625,4064,4819,4426,4288,4056,6548,2015-16,L. James,J. Smith,K. Irving,T. Thompson,M. Dellavedova
Lineups,-2544-2592-2747-202684-203521-,L. James - J. Jones - J. Smith - T. Thompson - M. Dellavedova,1610612739,CLE,10,6,4,0.6,15.0,88.4,83.9,81.6,71.0,6.8,12.9,0.857,1.5,13.6,0.333,0.786,0.514,0.129,0.352,0.414,87.3,96.04,80.03,31,0.468,566,483,11570,4818,1519,7614,3361,4486,2334,2662,6383,3357,4789,4723,7052,8293,8536,9159,6426,2015-16,L. James,J. Jones,J. Smith,T. Thompson,M. Dellavedova
Lineups,-2544-2747-2760-201567-203521-,L. James - J. Smith - A. Varejao - K. Love - M. Dellavedova,1610612739,CLE,7,5,2,0.714,14.0,111.6,103.7,98.9,92.6,12.8,11.1,0.5,1.25,12.5,0.5,0.75,0.607,0.148,0.458,0.517,89.0,95.41,79.51,27,0.559,993,630,9128,4216,1718,4698,5302,4603,5620,3297,6671,1209,5162,2753,7855,6625,6112,9464,5009,2015-16,L. James,J. Smith,A. Varejao,K. Love,M. Dellavedova
Lineups,-2544-2590-201567-202389-203099-,L. James - M. Williams - K. Love - T. Mozgov - J. Cunningham,1610612739,CLE,2,1,1,0.5,14.0,157.0,161.5,102.7,100.0,54.3,61.5,0.5,3.0,22.5,0.556,0.778,0.667,0.115,0.75,0.756,88.2,88.09,73.41,26,0.718,3811,3230,3764,5175,1650,1029,5788,1761,5620,554,2264,1163,4866,1630,6491,1497,1874,11361,3106,2015-16,L. James,M. Williams,K. Love,T. Mozgov,J. Cunningham
Lineups,-2210-2544-2760-202684-203521-,R. Jefferson - L. James - A. Varejao - T. Thompson - M. Dellavedova,1610612739,CLE,7,4,3,0.571,14.0,97.4,93.5,76.0,69.0,21.5,24.6,0.417,1.67,11.4,0.409,0.765,0.564,0.097,0.422,0.43,99.7,106.67,88.89,31,0.644,993,851,10862,5015,1733,6729,3274,3621,7404,2434,7231,2675,5069,3746,5820,7261,8289,5232,3909,2015-16,R. Jefferson,L. James,A. Varejao,T. Thompson,M. Dellavedova
Lineups,-2544-2747-201567-202684-202697-,L. James - J. Smith - K. Love - T. Thompson - I. Shumpert,1610612739,CLE,9,8,1,0.889,13.0,134.6,122.2,97.9,88.9,36.7,33.3,0.8,2.0,21.1,0.273,0.643,0.48,0.148,0.65,0.702,90.8,100.01,83.34,27,0.654,692,276,3764,3784,1820,2941,4931,2899,2500,1395,2710,4925,7574,6806,7855,2671,2435,7671,3818,2015-16,L. James,J. Smith,K. Love,T. Thompson,I. Shumpert
Lineups,-2544-202681-202684-202697-203521-,L. James - K. Irving - T. Thompson - I. Shumpert - M. Dellavedova,1610612739,CLE,5,5,0,1.0,13.0,136.0,120.8,144.7,138.5,-8.7,-17.6,0.417,1.0,15.6,0.5,0.778,0.667,0.208,0.722,0.751,87.0,94.2,78.5,24,0.46,1520,630,1,1,1861,3043,10394,7918,7404,3588,5383,1209,4866,1630,9797,1898,1919,9869,6520,2015-16,L. James,K. Irving,T. Thompson,I. Shumpert,M. Dellavedova
Lineups,-2544-201567-202389-203099-203521-,L. James - K. Love - T. Mozgov - J. Cunningham - M. Dellavedova,1610612739,CLE,2,2,0,1.0,13.0,128.7,119.2,88.4,84.6,40.3,34.6,1.0,6.0,29.3,0.273,0.778,0.5,0.077,0.614,0.618,88.3,93.83,78.2,26,0.75,3811,1875,1,1,1765,3256,4553,2867,1,68,919,4925,4866,4831,5299,3178,3821,9996,2822,2015-16,L. James,K. Love,T. Mozgov,J. Cunningham,M. Dellavedova
Lineups,-2210-2544-2590-2747-201567-,R. Jefferson - L. James - M. Williams - J. Smith - K. Love,1610612739,CLE,1,0,1,0.0,13.0,101.9,100.0,83.5,76.0,18.4,24.0,0.3,0.75,8.6,0.438,0.9,0.615,0.154,0.458,0.472,87.9,92.83,77.36,26,0.519,6162,7962,3764,7962,1783,4840,3785,3650,8268,5257,8106,2462,3504,2667,7967,6625,7597,10303,5587,2015-16,R. Jefferson,L. James,M. Williams,J. Smith,K. Love
